0	2.48517	6.4039e-05
1000	1.82977	8.74264e-05
2000	1.74928	0.000103386
3000	1.69677	0.000115613
4000	1.67014	0.00012594
5000	1.66029	0.000135312
6000	1.65824	0.000144049
7000	1.65887	0.000152277
8000	1.65346	0.000159972
9000	1.65143	0.000167284
10000	1.65443	0.000174306
11000	1.65876	0.000181135
12000	1.66163	0.000187755
13000	1.66412	0.000194175
14000	1.67223	0.000200475
15000	1.67617	0.00020666
16000	1.6801	0.000212702
17000	1.6813	0.000218604
18000	1.66996	0.000224256
19000	1.66452	0.000229689
20000	1.66209	0.000234958
21000	1.6654	0.000240136
22000	1.66715	0.000245232
23000	1.66574	0.000250208
24000	1.66412	0.000255071
25000	1.66377	0.000259841
26000	1.66489	0.000264527
27000	1.66139	0.000269117
28000	1.65473	0.000273575
29000	1.65201	0.000277919
