	0.1 	 0 	 7.6880 	 0.136101 	 #1.77 %
	0.15 	 0 	 5.6476 	 0.0982553 	 #1.74 %
	0.2 	 0 	 4.2560 	 0.0653578 	 #1.54 %
	0.25 	 0 	 3.7009 	 0.0445886 	 #1.20 %
	0.3 	 0 	 3.4205 	 0.0334251 	 #0.98 %
	0.35 	 0 	 3.1946 	 0.022254 	 #0.70 %
	0.4 	 0 	 3.0789 	 0.0137342 	 #0.45 %
	0.45 	 0 	 3.0157 	 0.00620509 	 #0.21 %
	0.5 	 0 	 3.0000 	 0 	 #0.00 %
	0.55 	 0 	 3.0131 	 0.005996 	 #0.20 %
	0.6 	 0 	 3.0556 	 0.0111671 	 #0.37 %
	0.65 	 0 	 3.1160 	 0.0162824 	 #0.52 %
	0.7 	 0 	 3.1688 	 0.0210923 	 #0.67 %
	0.75 	 0 	 3.2474 	 0.0255924 	 #0.79 %
	0.8 	 0 	 3.3518 	 0.0290601 	 #0.87 %
	0.85 	 0 	 3.4501 	 0.0336296 	 #0.97 %
	0.9 	 0 	 3.5326 	 0.0374709 	 #1.06 %
	0.95 	 0 	 3.6245 	 0.0430268 	 #1.19 %
