	0.1 	 0.25 	 7.6825 	 0.337294
	0.1 	 0.35 	 7.5091 	 0.135352
	0.1 	 0.45 	 7.5297 	 0.114863
	0.1 	 0.55 	 8.0601 	 0.141665
	0.2 	 0.25 	 4.3076 	 0.37862
	0.2 	 0.35 	 4.4913 	 0.085945
	0.2 	 0.45 	 4.3964 	 0.0952097
	0.2 	 0.55 	 4.4342 	 0.0869086
	0.3 	 0.25 	 3.2684 	 0.373722
	0.3 	 0.35 	 3.4104 	 0.127945
	0.3 	 0.45 	 3.5070 	 0.126129
	0.3 	 0.55 	 3.5754 	 0.105544
	0.4 	 0.25 	 2.8773 	 0.533376
	0.4 	 0.35 	 3.0042 	 0.207216
	0.4 	 0.45 	 3.2143 	 0.156511
	0.4 	 0.55 	 3.3340 	 0.131978
	0.5 	 0.25 	 2.7621 	 0.655514
	0.5 	 0.35 	 2.9195 	 0.18667
	0.5 	 0.45 	 3.1685 	 0.140138
	0.5 	 0.55 	 3.3111 	 0.198522
	0.6 	 0.25 	 2.7614 	 0.904378
	0.6 	 0.35 	 2.9173 	 0.300981
	0.6 	 0.45 	 3.2250 	 0.210677
	0.6 	 0.55 	 3.4016 	 0.188515
	0.7 	 0.25 	 2.8010 	 0.82913
	0.7 	 0.35 	 2.9902 	 0.313213
	0.7 	 0.45 	 3.4383 	 0.218142
	0.7 	 0.55 	 3.5912 	 0.201513
